,avg_exposure,avg_turnover,max_drawdown,sharpe,total_return,volatility_ann
high_vol,0.040219000000000005,-0.027289,0.04771199999999999,-0.336329,-0.034913,0.017445000000000002
low_vol,-0.03837599999999999,0.0016949999999999986,0.024411000000000002,-0.214466,-0.014672000000000001,2.1999999999994246e-05
mid_vol,-0.01220300000000002,0.00014899999999999983,0.008898000000000003,-0.459824,-0.03490199999999999,-0.0007590000000000027
