symbol,tradeDate,stockId,ivx60Prev,hvp150,change1W_percent,dividendDate,beta180D,ivr180,companyName,openInterestCall,dividendYield,hvp30,ivx150Prev,hvp20,beta90D,ivp150,ivxLowDate30,correlation150D,ivx60,ivx180ChgPercent,beta10D,ivxLowDate120,hv30hl,ivx150,ivp60,ivxLow30,eps,ivx60Chg,hvp10,ivxHighDate60,ivx120ChgPercent,ivx180Chg,avgOptOI1MO,highPrice52Wk,optVolCall,ivxHigh60,beta150D,ivxLow60,ivx30Prev,ivr90,ivx90Prev,correlation30D,ivx150Chg,hvp90,industry,ivxLowDate90,ivxLowDate150,hv150,low,ivx60ChgPercent,ivx90ChgPercent,changePercent,highDate52WK,ivxHighDate30,hv60hl,close,optVolPut,correlation180D,ivx120HL,avgOptOI1WK,ivxHighDate150,change,ivr150,price1Y,price1W,ivx30,ask,hv90hl,change1Y_percent,hv60,ivx90Chg,price1M,open,ivp30,cumulativeValue,ivxHighDate120,correlation20D,ivx120,hv120hl,correlation60D,avgOptVol1MO,change1M,beta120D,hv120,ivx150HL,high,hv90,change1W,ivxHighDate90,change1Y,callPutVolumeRatio,ivxHigh90,VWAP,lowDate52WK,hv10,beta30D,change1M_percent,ivr60,marketCap,ivx30ChgPercent,ivx120Chg,dividendAmount,hvp60,hvp180,ivx180HL,outstandingShares,ivp120,avgOptVol1WK,ivx90HL,exchange,ivx90,ivx30HV20,correlation10D,openInterest,ivp90,regionName,correlation90D,ivr120,lowPrice52Wk,beta60D,ivx120Prev,ivx180Prev,correlation120D,ivxHigh30,ivx60HL,hv30,ivxHighDate180,beta20D,stockVolume,ivx30Chg,openInterestPut,cumulativePrice,ivxLow90,dividendFrequency,hvp120,optVol,ivxLowDate180,hv150hl,ivx150ChgPercent,hv180hl,ivx30HL,ivxLowDate60,hv180,pe,ivp180,bid,ivx180,ivr30,hv20
AAPL,2022-01-01,799,28.619951248168945,19.047618865966797,,,1.2462860345840454,16.79109764099121,Apple Inc,5041723,,72.61904907226562,29.044902801513672,76.19047546386719,1.1790670156478882,,2021-06-11,67.58219909667969,27.9822998046875,-2.1427133083343506,1.1180230379104614,2021-06-25,,28.52090072631836,,0.19021350145339966,,-0.6376504898071289,32.5396842956543,2021-01-27,-1.6562172174453735,-0.6209015846252441,9507355,,803922,0.4647884964942932,1.2007800340652466,0.2149440050125122,29.172901153564453,22.084758758544922,28.31344985961914,63.913299560546875,-0.5240023136138916,44.0476188659668,,2021-10-18,2021-08-27,,177.25999450683594,-2.2279930114746094,-1.986323356628418,,,2021-01-27,,177.57000732421875,414517,70.19540405273438,,9009628,2021-01-27,,18.79799461364746,129.41000366210938,,29.452550888061523,,,,,-0.5623966455459595,,178.0850067138672,,,2021-01-27,87.54019927978516,28.160297393798828,,62.859798431396484,2249588,,1.2273880243301392,,,179.22999572753906,,,2021-01-27,,1.9394186486923335,0.44316649436950684,,,,1.0781810283660889,,25.96775245666504,,0.9585954546928406,-0.47425031661987305,,54.761905670166016,8.333333015441895,,,,1254394,,NASDAQ,27.751052856445312,0.9687191843986511,93.41089630126953,9233170,,USA,67.98760223388672,19.68377685546875,,1.086724042892456,28.63454818725586,28.977352142333984,69.48909759521484,0.489936500787735,,,2021-01-27,1.6039880514144897,61985028,0.27965009212493896,4191447,,0.23055601119995117,,32.93650817871094,1218439,2021-06-29,,-1.804111123085022,,,2021-11-04,,,,,28.3564510345459,34.80280303955078,30.40359878540039
ADBE,2022-01-01,883,28.590801239013672,65.87301635742188,,,1.3529729843139648,33.331119537353516,Adobe Systems Inc,119275,,95.63491821289062,30.846649169921875,95.63491821289062,1.670632004737854,,2021-08-06,54.695804595947266,28.91259765625,-1.650116205215454,1.1172820329666138,2021-06-25,,30.618000030517578,,0.20087799429893494,,0.3217965364456177,33.730159759521484,2021-12-03,-0.5210798978805542,-0.5160003900527954,261139,,8922,0.45055049657821655,1.3993539810180664,0.22913599014282227,27.169349670410156,30.11745834350586,30.047199249267578,63.43009948730469,-0.22864937782287598,96.03174591064453,,2021-07-02,2021-07-26,,565.0700073242188,1.1255247592926025,0.23097217082977295,,,2021-12-03,,567.0599975585938,11776,55.89720153808594,,269819,2021-12-03,,33.25379943847656,485.3399963378906,,27.34600067138672,,,,,0.06940066814422607,,570.0,,,2021-12-03,70.50709533691406,30.450397491455078,,62.9136962890625,39225,,1.521198034286499,,,570.1699829101562,,,2021-12-03,,0.7576426630434783,0.4298250079154968,,,,1.928331971168518,,27.09397315979004,,0.6501822471618652,-0.1595020294189453,,95.63491821289062,54.36507797241211,,,,21041,,NASDAQ,30.116600036621094,0.4460291266441345,90.08360290527344,283384,,USA,61.37200164794922,31.162843704223633,,1.9095100164413452,30.609899520874023,31.27054786682129,59.514801025390625,0.5003315210342407,,,2021-12-03,2.6051440238952637,1552346,0.1766502857208252,164109,,0.24571749567985535,,83.33333587646484,20698,2021-06-25,,-0.741245448589325,,,2021-07-02,,,,,30.754549026489258,24.2381534576416,61.309898376464844
ACN,2022-01-01,17711,22.363550186157227,42.4603157043457,,,1.0236916542053223,56.592010498046875,Accenture PLC,39728,,98.80952453613281,24.581449508666992,96.03174591064453,1.0843585729599,,2021-07-02,65.3801040649414,23.590299606323242,2.1522104740142822,1.5801507234573364,2021-07-02,,25.103450775146484,,0.13931749761104584,,1.2267500162124634,84.9206314086914,2021-01-29,-0.7453795671463013,0.5369991064071655,84763,,831,0.3275805115699768,1.0499244928359985,0.16503000259399414,19.828149795532227,44.30633544921875,23.930700302124023,58.00250244140625,0.5219995975494385,67.46031951904297,,2021-07-02,2021-07-02,,412.1099853515625,5.4854888916015625,0.09004571288824081,,,2021-03-04,,414.54998779296875,1327,66.35749816894531,,85983,2021-01-29,,53.27828598022461,256.4599914550781,,19.94205093383789,,,,,0.021548569202423096,,412.70001220703125,,,2021-01-29,47.07530212402344,24.148550033569336,,57.49549865722656,5401,,1.0414988994598389,,,416.95001220703125,,,2021-01-29,,0.6262245666917859,0.316257506608963,,,,1.0464811325073242,,43.6005973815918,,0.5744433999061584,-0.18135011196136475,,86.9047622680664,32.14285659790039,,,,3203,,NYSE,23.95224952697754,0.602011501789093,89.43240356445312,88448,,USA,64.32340240478516,45.36730194091797,,1.022430419921875,24.32990074157715,24.9510498046875,64.42839813232422,0.33110302686691284,,,2021-01-29,0.9397792220115662,1099988,0.11390149593353271,48720,,0.1784769892692566,,54.761905670166016,2158,2021-07-02,,2.1235508918762207,,,2021-07-02,,,,,25.488048553466797,31.338659286499023,33.12569808959961
AAPL,2022-01-02,799,28.619951248168945,19.047618865966797,,,1.2462860345840454,16.79109764099121,Apple Inc,5041723,,72.61904907226562,29.044902801513672,76.19047546386719,1.1790670156478882,,2021-06-11,67.58219909667969,27.9822998046875,-2.1427133083343506,1.1180230379104614,2021-06-25,,28.52090072631836,,0.19021350145339966,,-0.6376504898071289,32.5396842956543,2021-01-27,-1.6562172174453735,-0.6209015846252441,9507355,,803922,0.4647884964942932,1.2007800340652466,0.2149440050125122,29.172901153564453,22.084758758544922,28.31344985961914,63.913299560546875,-0.5240023136138916,44.0476188659668,,2021-10-18,2021-08-27,,177.25999450683594,-2.2279930114746094,-1.986323356628418,,,2021-01-27,,177.57000732421875,414517,70.19540405273438,,9009628,2021-01-27,,18.79799461364746,129.41000366210938,,29.452550888061523,,,,,-0.5623966455459595,,178.0850067138672,,,2021-01-27,87.54019927978516,28.160297393798828,,62.859798431396484,2249588,,1.2273880243301392,,,179.22999572753906,,,2021-01-27,,1.9394186486923335,0.44316649436950684,,,,1.0781810283660889,,25.96775245666504,,0.9585954546928406,-0.47425031661987305,,54.761905670166016,8.333333015441895,,,,1254394,,NASDAQ,27.751052856445312,0.9687191843986511,93.41089630126953,9233170,,USA,67.98760223388672,19.68377685546875,,1.086724042892456,28.63454818725586,28.977352142333984,69.48909759521484,0.489936500787735,,,2021-01-27,1.6039880514144897,61985028,0.27965009212493896,4191447,,0.23055601119995117,,32.93650817871094,1218439,2021-06-29,,-1.804111123085022,,,2021-11-04,,,,,28.3564510345459,34.80280303955078,30.40359878540039
ADBE,2022-01-02,883,28.590801239013672,65.87301635742188,,,1.3529729843139648,33.331119537353516,Adobe Systems Inc,119275,,95.63491821289062,30.846649169921875,95.63491821289062,1.670632004737854,,2021-08-06,54.695804595947266,28.91259765625,-1.650116205215454,1.1172820329666138,2021-06-25,,30.618000030517578,,0.20087799429893494,,0.3217965364456177,33.730159759521484,2021-12-03,-0.5210798978805542,-0.5160003900527954,261139,,8922,0.45055049657821655,1.3993539810180664,0.22913599014282227,27.169349670410156,30.11745834350586,30.047199249267578,63.43009948730469,-0.22864937782287598,96.03174591064453,,2021-07-02,2021-07-26,,565.0700073242188,1.1255247592926025,0.23097217082977295,,,2021-12-03,,567.0599975585938,11776,55.89720153808594,,269819,2021-12-03,,33.25379943847656,485.3399963378906,,27.34600067138672,,,,,0.06940066814422607,,570.0,,,2021-12-03,70.50709533691406,30.450397491455078,,62.9136962890625,39225,,1.521198034286499,,,570.1699829101562,,,2021-12-03,,0.7576426630434783,0.4298250079154968,,,,1.928331971168518,,27.09397315979004,,0.6501822471618652,-0.1595020294189453,,95.63491821289062,54.36507797241211,,,,21041,,NASDAQ,30.116600036621094,0.4460291266441345,90.08360290527344,283384,,USA,61.37200164794922,31.162843704223633,,1.9095100164413452,30.609899520874023,31.27054786682129,59.514801025390625,0.5003315210342407,,,2021-12-03,2.6051440238952637,1552346,0.1766502857208252,164109,,0.24571749567985535,,83.33333587646484,20698,2021-06-25,,-0.741245448589325,,,2021-07-02,,,,,30.754549026489258,24.2381534576416,61.309898376464844
ACN,2022-01-02,17711,22.363550186157227,42.4603157043457,,,1.0236916542053223,56.592010498046875,Accenture PLC,39728,,98.80952453613281,24.581449508666992,96.03174591064453,1.0843585729599,,2021-07-02,65.3801040649414,23.590299606323242,2.1522104740142822,1.5801507234573364,2021-07-02,,25.103450775146484,,0.13931749761104584,,1.2267500162124634,84.9206314086914,2021-01-29,-0.7453795671463013,0.5369991064071655,84763,,831,0.3275805115699768,1.0499244928359985,0.16503000259399414,19.828149795532227,44.30633544921875,23.930700302124023,58.00250244140625,0.5219995975494385,67.46031951904297,,2021-07-02,2021-07-02,,412.1099853515625,5.4854888916015625,0.09004571288824081,,,2021-03-04,,414.54998779296875,1327,66.35749816894531,,85983,2021-01-29,,53.27828598022461,256.4599914550781,,19.94205093383789,,,,,0.021548569202423096,,412.70001220703125,,,2021-01-29,47.07530212402344,24.148550033569336,,57.49549865722656,5401,,1.0414988994598389,,,416.95001220703125,,,2021-01-29,,0.6262245666917859,0.316257506608963,,,,1.0464811325073242,,43.6005973815918,,0.5744433999061584,-0.18135011196136475,,86.9047622680664,32.14285659790039,,,,3203,,NYSE,23.95224952697754,0.602011501789093,89.43240356445312,88448,,USA,64.32340240478516,45.36730194091797,,1.022430419921875,24.32990074157715,24.9510498046875,64.42839813232422,0.33110302686691284,,,2021-01-29,0.9397792220115662,1099988,0.11390149593353271,48720,,0.1784769892692566,,54.761905670166016,2158,2021-07-02,,2.1235508918762207,,,2021-07-02,,,,,25.488048553466797,31.338659286499023,33.12569808959961
AAPL,2022-01-03,799,27.9822998046875,22.924901962280273,,,1.2611229419708252,16.113525390625,Apple Inc,4454560,,69.56521606445312,28.52090072631836,77.0750961303711,1.195788025856018,10.754414558410645,2021-06-11,67.64289855957031,27.956850051879883,-0.3947935700416565,1.2697240114212036,2021-06-25,,28.38454818725586,11.075441360473633,0.19021350145339966,,-0.025451183319091797,41.106719970703125,2021-01-27,-0.18607205152511597,-0.11194944381713867,9473134,,1112276,0.4647884964942932,1.2101809978485107,0.2149440050125122,29.452550888061523,21.669200897216797,27.751052856445312,64.9802017211914,-0.1363515853881836,47.43083190917969,,2021-10-18,2021-08-27,21.632299423217773,177.7100067138672,-0.09095457941293716,-0.3183733820915222,,,2021-01-27,,182.00999450683594,523008,70.46489715576172,,8945075,2021-01-27,,18.004121780395508,131.00999450683594,,28.590452194213867,,,,,-0.08835196495056152,,177.8300018310547,11.556982040405273,,2021-01-27,86.30970001220703,28.107898712158203,,62.93230056762695,2155948,,1.2378970384597778,22.616901397705078,,182.8800048828125,23.74340057373047,,2021-01-27,,2.1266902227116984,0.44316649436950684,,,20.52680015563965,1.08433198928833,,25.86588478088379,,-2.9270732402801514,-0.0523984432220459,,55.335968017578125,9.486166000366211,,,10.43338680267334,1292777,,NASDAQ,27.662700653076172,0.9331087470054626,86.06010437011719,8433596,10.19261646270752,USA,68.4115982055664,19.402135848999023,,1.107401967048645,28.160297393798828,28.3564510345459,70.16780090332031,0.489936500787735,,29.566499710083008,2021-01-27,1.6346839666366577,96521027,-0.8620977401733398,3979036,,0.23055601119995117,,33.59683609008789,1635284,2021-06-29,,-0.4780760407447815,,,2021-11-04,21.851499557495117,,9.9518461227417,,28.2445011138916,31.926485061645508,30.639999389648438
ADBE,2022-01-03,883,28.91259765625,65.6126480102539,,,1.3408399820327759,29.283050537109375,Adobe Systems Inc,113653,,95.25691986083984,30.618000030517578,95.25691986083984,1.660101056098938,13.001605033874512,2021-08-06,54.50050354003906,28.656848907470703,-1.7016886472702026,1.016510009765625,2021-06-25,,30.12344741821289,12.27929401397705,0.20087799429893494,,-0.2557486295700073,26.877470016479492,2021-12-03,-1.46433687210083,-0.5233466625213623,262680,,11138,0.45055049657821655,1.3883800506591797,0.22913599014282227,27.34600067138672,29.018651962280273,30.116600036621094,63.134700775146484,-0.4945516586303711,96.04743194580078,,2021-07-02,2021-07-26,30.80230140686035,553.2670288085938,-0.8845577836036682,-0.6717164516448975,,,2021-12-03,,564.3699951171875,14412,55.50749969482422,,272949,2021-12-03,,29.767763137817383,485.69000244140625,,26.32859992980957,,,,,-0.20229816436767578,,566.6500244140625,8.587479591369629,,2021-12-03,69.02110290527344,30.004501342773438,,62.2947998046875,39514,,1.5116870403289795,32.691898345947266,,575.0,36.89579772949219,,2021-12-03,,0.7728281987232861,0.4298250079154968,,,17.02640151977539,1.9115370512008667,,25.938907623291016,,-3.720473289489746,-0.4458963871002197,,95.25691986083984,53.754940032958984,,,12.84109115600586,21655,,NASDAQ,29.9143009185791,0.48718681931495667,83.06229400634766,270073,12.921348571777344,USA,61.11909866333008,28.342613220214844,,1.8905329704284668,30.450397491455078,30.754549026489258,59.27980041503906,0.5003315210342407,,53.64540100097656,2021-12-03,2.305675983428955,2845308,-1.0174006223678589,156420,,0.24571749567985535,,83.00395202636719,25550,2021-06-25,,-1.6152317523956299,,,2021-07-02,29.49329948425293,,12.84109115600586,,30.231201171875,20.84062957763672,54.04209899902344
ACN,2022-01-03,17711,23.590299606323242,44.268775939941406,,,1.011739730834961,52.99810028076172,Accenture PLC,38576,,99.60474395751953,25.103450775146484,96.44268798828125,1.0606257915496826,13.884429931640625,2021-07-02,63.8723030090332,22.790550231933594,-1.5393394231796265,1.5806243419647217,2021-07-02,,24.625999450683594,12.27929401397705,0.13931749761104584,,-0.7997483015060425,87.35177612304688,2021-01-29,-0.049074966460466385,-0.3923475742340088,85064,,1224,0.3275805115699768,1.03241765499115,0.16503000259399414,19.94205093383789,42.34199142456055,23.95224952697754,55.41340255737305,-0.47744959592819214,71.93675994873047,,2021-07-02,2021-07-02,19.544200897216797,405.0400085449219,-3.390157461166382,-1.1299494504928589,,,2021-03-04,,407.2099914550781,1481,65.07369995117188,,86785,2021-01-29,,49.164981842041016,257.9200134277344,,20.716249465942383,,,,,-0.2706483006477356,,414.6600036621094,9.470305442810059,,2021-01-29,40.6875,24.136699676513672,,55.41230010986328,5399,,1.0225874185562134,20.88239860534668,,415.5299987792969,23.082300186157227,,2021-01-29,,0.8264686022957461,0.316257506608963,,,28.546598434448242,1.0120514631271362,,38.680599212646484,,3.882242441177368,-0.011850893497467041,,90.90908813476562,35.968379974365234,,,13.483145713806152,2525,,NYSE,23.68160057067871,0.6145796179771423,77.03499603271484,85796,13.563403129577637,USA,62.416900634765625,45.27239990234375,,1.0044004917144775,24.148550033569336,25.488048553466797,62.77779769897461,0.33110302686691284,,32.359798431396484,2021-01-29,0.8477692008018494,2110609,0.7741987705230713,47220,,0.1784769892692566,,56.12648391723633,2705,2021-07-02,,-1.901928186416626,,,2021-07-02,18.982799530029297,,14.125200271606445,,25.095701217651367,35.37545394897461,33.70800018310547
AAPL,2022-01-04,799,27.956850051879883,23.22834587097168,,,1.2592500448226929,20.667095184326172,Apple Inc,4555788,,71.6535415649414,28.38454818725586,77.55905151367188,1.1987370252609253,11.717495918273926,2021-06-11,67.50399780273438,28.735750198364258,2.6636962890625,1.5985779762268066,2021-06-25,,29.17329978942871,11.717495918273926,0.19021350145339966,,0.7789015769958496,46.85039520263672,2021-01-27,2.8429787158966064,0.7523477077484131,9425615,,835165,0.4647884964942932,1.2123160362243652,0.2149440050125122,28.590452194213867,25.110010147094727,27.662700653076172,65.37149810791016,0.7887512445449829,48.42519760131836,,2021-10-18,2021-08-27,21.717500686645508,179.1199951171875,2.7860848903656006,2.6445417404174805,,,2021-01-27,,179.6999969482422,494408,70.17769622802734,,8893648,2021-01-27,,22.59642791748047,126.5999984741211,,29.68360137939453,,,,,0.7315516471862793,,182.6300048828125,13.08186149597168,,2021-01-27,85.10549926757812,28.907001495361328,,62.60700225830078,2097047,,1.2396140098571777,22.696199417114258,,182.94000244140625,23.841400146484375,,2021-01-27,,1.6892222617756996,0.44316649436950684,,,21.534500122070312,1.0983539819717407,,28.983428955078125,,3.8234763145446777,0.7991015911102295,,56.29921340942383,9.448819160461426,,,11.797752380371094,1290658,,NASDAQ,28.39425277709961,0.9652136564254761,84.96980285644531,8635513,11.396469116210938,USA,68.08050537109375,23.697307586669922,,1.1119790077209473,28.107898712158203,28.2445011138916,69.95459747314453,0.489936500787735,,29.758899688720703,2021-01-27,1.6495660543441772,92787335,1.093149185180664,4079725,,0.23055601119995117,,35.8267707824707,1329573,2021-06-29,,2.7788050174713135,,,2021-11-04,21.850200653076172,,11.396469116210938,,28.996849060058594,35.57368469238281,30.753400802612305
